;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;1370;1370;0
0-1-0-0-0;1841;1841;0
0-0-1-0-0;2086;2086;0
0-0-0-1-0;1507;1507;0
0-0-0-0-1;1786;1786;0
1-2-0-0-0;1898;1898;1460
1-0-2-0-0;2166;2166;1522
1-0-0-2-0;1790;1790;1433
1-0-0-0-2;1896;1896;1508
0-1-2-0-0;2280;2280;1895
0-1-0-2-0;1957;1957;1875
0-1-0-0-2;1961;1961;1937
0-0-1-2-0;2107;2107;2144
0-0-1-0-2;2134;2134;2105
0-0-0-1-2;1886;1886;1684
1-2-3-0-0;1844;1981;2126
1-2-0-3-0;1718;1875;2093
1-2-0-0-3;1760;1881;2141
1-0-2-3-0;1936;2100;2404
1-0-2-0-3;1957;2079;2418
1-0-0-2-3;1689;1861;2118
0-1-2-3-0;2011;2216;2448
0-1-2-0-3;2075;2230;2479
0-1-0-2-3;1848;2047;2353
0-0-1-2-3;1977;2207;2478
1-2-3-4-0;2050;2248;2482
1-2-3-0-4;2062;2249;2419
1-2-0-3-4;1858;2109;2279
1-0-2-3-4;2061;2306;2524
0-1-2-3-4;2142;2373;2621
1-2-3-4-5;2030;2254;2427
