;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;0.05785;0.05785;nan
0-1-0-0-0;0.09722;0.09722;nan
0-0-1-0-0;0.05248;0.05248;nan
0-0-0-1-0;0.06278;0.06278;nan
0-0-0-0-1;0.10821;0.10821;nan
1-2-0-0-0;0.06000;0.06000;0.10396
1-0-2-0-0;0.04421;0.04421;0.08678
1-0-0-2-0;0.04348;0.04348;0.08427
1-0-0-0-2;0.07209;0.07209;0.11236
0-1-2-0-0;0.06947;0.06947;0.09375
0-1-0-2-0;0.06111;0.06111;0.09122
0-1-0-0-2;0.09213;0.09213;0.11526
0-0-1-2-0;0.04961;0.04961;0.06098
0-0-1-0-2;0.05769;0.05769;0.09904
0-0-0-1-2;0.07468;0.07468;0.10762
1-2-3-0-0;0.04750;0.06250;0.08611
1-2-0-3-0;0.04722;0.06667;0.09062
1-2-0-0-3;0.05797;0.07826;0.11594
1-0-2-3-0;0.04565;0.05435;0.07609
1-0-2-0-3;0.05169;0.06067;0.10652
1-0-0-2-3;0.05338;0.06762;0.10320
0-1-2-3-0;0.06087;0.06190;0.08810
0-1-2-0-3;0.06522;0.07391;0.10952
0-1-0-2-3;0.07143;0.08631;0.12162
0-0-1-2-3;0.05978;0.07337;0.10054
1-2-3-4-0;0.05200;0.05435;0.08261
1-2-3-0-4;0.05600;0.06200;0.10217
1-2-0-3-4;0.06389;0.07778;0.10938
1-0-2-3-4;0.05217;0.06739;0.09053
0-1-2-3-4;0.06739;0.08043;0.09048
1-2-3-4-5;0.07174;0.08043;0.10000
