;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;0.28137;0.28137;nan
0-1-0-0-0;0.29579;0.29579;nan
0-0-1-0-0;0.28904;0.28904;nan
0-0-0-1-0;0.28970;0.28970;nan
0-0-0-0-1;0.29327;0.29327;nan
1-2-0-0-0;0.27879;0.27879;0.29317
1-0-2-0-0;0.27610;0.27610;0.29394
1-0-0-2-0;0.27602;0.27602;0.30048
1-0-0-0-2;0.27602;0.27602;0.29621
0-1-2-0-0;0.28086;0.28086;0.30094
0-1-0-2-0;0.28954;0.28954;0.30315
0-1-0-0-2;0.27753;0.27753;0.30658
0-0-1-2-0;0.27662;0.27662;0.30385
0-0-1-0-2;0.27758;0.27758;0.30353
0-0-0-1-2;0.28028;0.28028;0.30174
1-2-3-0-0;0.27222;0.28369;0.29931
1-2-0-3-0;0.27335;0.28383;0.30430
1-2-0-0-3;0.26990;0.27805;0.30083
1-0-2-3-0;0.26896;0.28271;0.30133
1-0-2-0-3;0.26967;0.28026;0.30407
1-0-0-2-3;0.26598;0.27747;0.30405
0-1-2-3-0;0.28001;0.28757;0.30615
0-1-2-0-3;0.27375;0.28700;0.30537
0-1-0-2-3;0.27669;0.28665;0.31141
0-0-1-2-3;0.27071;0.29043;0.30517
1-2-3-4-0;0.27098;0.28185;0.29422
1-2-3-0-4;0.26686;0.27987;0.29367
1-2-0-3-4;0.26646;0.27794;0.29346
1-0-2-3-4;0.26349;0.28191;0.29345
0-1-2-3-4;0.27022;0.28382;0.29737
1-2-3-4-5;0.27466;0.28431;0.29623
