;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;0.09501;0.09501;nan
0-1-0-0-0;0.11240;0.11240;nan
0-0-1-0-0;0.11043;0.11043;nan
0-0-0-1-0;0.10408;0.10408;nan
0-0-0-0-1;0.10973;0.10973;nan
1-2-0-0-0;0.09235;0.09235;0.11821
1-0-2-0-0;0.09620;0.09620;0.11423
1-0-0-2-0;0.08761;0.08761;0.11336
1-0-0-0-2;0.08761;0.08761;0.11864
0-1-2-0-0;0.10330;0.10330;0.12025
0-1-0-2-0;0.09409;0.09409;0.12055
0-1-0-0-2;0.09750;0.09750;0.12471
0-0-1-2-0;0.09687;0.09687;0.12126
0-0-1-0-2;0.10001;0.10001;0.12584
0-0-0-1-2;0.09797;0.09797;0.12154
1-2-3-0-0;0.08426;0.09827;0.12456
1-2-0-3-0;0.08182;0.09668;0.12254
1-2-0-0-3;0.08009;0.09767;0.12575
1-0-2-3-0;0.08523;0.09728;0.12456
1-0-2-0-3;0.08409;0.09681;0.12959
1-0-0-2-3;0.08233;0.09593;0.12406
0-1-2-3-0;0.09083;0.10470;0.12696
0-1-2-0-3;0.09300;0.10659;0.13270
0-1-0-2-3;0.08820;0.10411;0.12854
0-0-1-2-3;0.09011;0.10641;0.12972
1-2-3-4-0;0.08447;0.09763;0.11789
1-2-3-0-4;0.08348;0.09734;0.12014
1-2-0-3-4;0.08187;0.09853;0.11512
1-0-2-3-4;0.08140;0.09721;0.11719
0-1-2-3-4;0.08782;0.10377;0.11918
1-2-3-4-5;0.08730;0.10356;0.11722
