;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;0.16942;0.16942;nan
0-1-0-0-0;0.15833;0.15833;nan
0-0-1-0-0;0.16910;0.16910;nan
0-0-0-1-0;0.11659;0.11659;nan
0-0-0-0-1;0.17537;0.17537;nan
1-2-0-0-0;0.15250;0.15250;0.17822
1-0-2-0-0;0.16211;0.16211;0.19835
1-0-0-2-0;0.13043;0.13043;0.19101
1-0-0-0-2;0.16744;0.16744;0.19101
0-1-2-0-0;0.17263;0.17263;0.15313
0-1-0-2-0;0.14167;0.14167;0.14865
0-1-0-0-2;0.16404;0.16404;0.18380
0-0-1-2-0;0.15666;0.15666;0.18598
0-0-1-0-2;0.17033;0.17033;0.20128
0-0-0-1-2;0.14610;0.14610;0.14798
1-2-3-0-0;0.14750;0.15500;0.16667
1-2-0-3-0;0.13611;0.14722;0.14062
1-2-0-0-3;0.14783;0.15362;0.17391
1-0-2-3-0;0.15652;0.16739;0.18696
1-0-2-0-3;0.17079;0.17753;0.19348
1-0-0-2-3;0.12811;0.14235;0.16370
0-1-2-3-0;0.16739;0.16667;0.18095
0-1-2-0-3;0.17174;0.18478;0.18571
0-1-0-2-3;0.14583;0.16369;0.16216
0-0-1-2-3;0.16033;0.17663;0.18750
1-2-3-4-0;0.16600;0.16957;0.18696
1-2-3-0-4;0.17000;0.18600;0.19130
1-2-0-3-4;0.13333;0.15556;0.15000
1-0-2-3-4;0.15652;0.17609;0.18737
0-1-2-3-4;0.16522;0.18043;0.17619
1-2-3-4-5;0.17174;0.18043;0.17619
