;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;0.09386;0.09386;nan
0-1-0-0-0;0.11311;0.11311;nan
0-0-1-0-0;0.11113;0.11113;nan
0-0-0-1-0;0.10361;0.10361;nan
0-0-0-0-1;0.10837;0.10837;nan
1-2-0-0-0;0.09415;0.09415;0.12229
1-0-2-0-0;0.09369;0.09369;0.11607
1-0-0-2-0;0.08990;0.08990;0.11365
1-0-0-0-2;0.08618;0.08618;0.12277
0-1-2-0-0;0.10409;0.10409;0.12069
0-1-0-2-0;0.09454;0.09454;0.12126
0-1-0-0-2;0.09652;0.09652;0.12409
0-0-1-2-0;0.09676;0.09676;0.12273
0-0-1-0-2;0.09899;0.09899;0.12386
0-0-0-1-2;0.09496;0.09496;0.12130
1-2-3-0-0;0.08429;0.10067;0.12671
1-2-0-3-0;0.08401;0.09991;0.12416
1-2-0-0-3;0.08112;0.10007;0.12828
1-0-2-3-0;0.08419;0.09787;0.12672
1-0-2-0-3;0.08351;0.09693;0.12990
1-0-0-2-3;0.08252;0.09587;0.12748
0-1-2-3-0;0.09092;0.10641;0.12819
0-1-2-0-3;0.09195;0.10656;0.13082
0-1-0-2-3;0.08489;0.10391;0.12917
0-0-1-2-3;0.08914;0.10646;0.13165
1-2-3-4-0;0.08553;0.10118;0.11996
1-2-3-0-4;0.08347;0.09843;0.12031
1-2-0-3-4;0.08074;0.09884;0.11769
1-0-2-3-4;0.08297;0.09939;0.12068
0-1-2-3-4;0.08742;0.10382;0.12060
1-2-3-4-5;0.08903;0.10469;0.11937
