;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;0.09735;0.09735;nan
0-1-0-0-0;0.08242;0.08242;nan
0-0-1-0-0;0.09007;0.09007;nan
0-0-0-1-0;0.09631;0.09631;nan
0-0-0-0-1;0.08194;0.08194;nan
1-2-0-0-0;0.09768;0.09768;0.08092
1-0-2-0-0;0.10797;0.10797;0.08420
1-0-0-2-0;0.11303;0.11303;0.07800
1-0-0-0-2;0.10264;0.10264;0.08486
0-1-2-0-0;0.09978;0.09978;0.07607
0-1-0-2-0;0.10105;0.10105;0.07421
0-1-0-0-2;0.09822;0.09822;0.07487
0-0-1-2-0;0.10818;0.10818;0.07922
0-0-1-0-2;0.10081;0.10081;0.07513
0-0-0-1-2;0.10091;0.10091;0.07884
1-2-3-0-0;0.10968;0.09437;0.07602
1-2-0-3-0;0.11265;0.09431;0.07328
1-2-0-0-3;0.10827;0.09756;0.07672
1-0-2-3-0;0.12295;0.10393;0.07897
1-0-2-0-3;0.11175;0.09976;0.07658
1-0-0-2-3;0.12126;0.10332;0.07709
0-1-2-3-0;0.11153;0.09694;0.07666
0-1-2-0-3;0.10567;0.09395;0.07280
0-1-0-2-3;0.11065;0.09705;0.07054
0-0-1-2-3;0.11625;0.09501;0.07648
1-2-3-4-0;0.11870;0.10256;0.08570
1-2-3-0-4;0.11169;0.09930;0.08316
1-2-0-3-4;0.12003;0.10187;0.08705
1-0-2-3-4;0.12414;0.10293;0.08615
0-1-2-3-4;0.11732;0.10083;0.08294
1-2-3-4-5;0.11054;0.09460;0.08166
