;cityscapes_average_c=_v=-1_d=0.5_a=-1;cityscapes_average_c=_v=-1_d=0.5_a=0;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.5;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231
0-1-0-0-0;0.242;0.242;0.242;0.242;0.242;0.242;0.242;0.242
0-0-1-0-0;0.238;0.238;0.238;0.238;0.238;0.238;0.238;0.238
0-0-0-1-0;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239
0-0-0-0-1;0.239;0.239;0.239;0.239;0.239;0.239;0.239;0.239
1-2-0-0-0;0.253;0.253;0.253;0.253;0.253;0.253;0.253;0.253
1-0-2-0-0;0.254;0.254;0.254;0.254;0.254;0.254;0.254;0.254
1-0-0-2-0;0.254;0.254;0.254;0.254;0.254;0.254;0.254;0.254
1-0-0-0-2;0.254;0.254;0.254;0.254;0.254;0.254;0.254;0.254
0-1-2-0-0;0.258;0.258;0.258;0.258;0.258;0.258;0.258;0.258
0-1-0-2-0;0.259;0.259;0.259;0.259;0.259;0.259;0.259;0.259
0-1-0-0-2;0.257;0.257;0.257;0.257;0.257;0.257;0.257;0.257
0-0-1-2-0;0.255;0.255;0.255;0.255;0.255;0.255;0.255;0.255
0-0-1-0-2;0.255;0.255;0.255;0.255;0.255;0.255;0.255;0.255
0-0-0-1-2;0.257;0.257;0.257;0.257;0.257;0.257;0.257;0.257
1-2-3-0-0;0.263;0.253;0.258;0.250;0.253;0.253;0.250;0.250
1-2-0-3-0;0.262;0.254;0.258;0.249;0.254;0.254;0.249;0.249
1-2-0-0-3;0.262;0.253;0.258;0.252;0.253;0.253;0.252;0.252
1-0-2-3-0;0.262;0.252;0.257;0.247;0.252;0.252;0.247;0.247
1-0-2-0-3;0.261;0.252;0.258;0.248;0.252;0.252;0.248;0.248
1-0-0-2-3;0.263;0.255;0.260;0.250;0.255;0.255;0.250;0.250
0-1-2-3-0;0.264;0.256;0.260;0.252;0.256;0.256;0.252;0.252
0-1-2-0-3;0.264;0.255;0.260;0.251;0.255;0.255;0.251;0.251
0-1-0-2-3;0.265;0.256;0.263;0.254;0.256;0.256;0.254;0.254
0-0-1-2-3;0.263;0.255;0.259;0.251;0.255;0.255;0.251;0.251
1-2-3-4-0;0.267;0.262;0.263;0.258;0.262;0.262;0.258;0.258
1-2-3-0-4;0.267;0.261;0.265;0.260;0.261;0.261;0.260;0.260
1-2-0-3-4;0.267;0.262;0.266;0.260;0.262;0.262;0.260;0.260
1-0-2-3-4;0.266;0.261;0.264;0.259;0.261;0.261;0.259;0.259
0-1-2-3-4;0.268;0.262;0.266;0.261;0.262;0.262;0.261;0.261
1-2-3-4-5;0.264;0.258;0.260;0.253;0.260;0.258;0.255;0.253
