;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.04523;0.04523
0-1-0-0-0;0.04385;0.04385
0-0-1-0-0;0.03954;0.03954
0-0-0-1-0;0.04211;0.04211
0-0-0-0-1;0.03985;0.03985
1-2-0-0-0;0.03719;0.03719
1-0-2-0-0;0.03268;0.03268
1-0-0-2-0;0.03402;0.03402
1-0-0-0-2;0.03327;0.03327
0-1-2-0-0;0.03310;0.03310
0-1-0-2-0;0.03489;0.03489
0-1-0-0-2;0.03345;0.03345
0-0-1-2-0;0.03235;0.03235
0-0-1-0-2;0.03134;0.03134
0-0-0-1-2;0.03213;0.03213
1-2-3-0-0;0.04128;0.04128
1-2-0-3-0;0.04203;0.04203
1-2-0-0-3;0.04116;0.04116
1-0-2-3-0;0.03984;0.03984
1-0-2-0-3;0.03926;0.03926
1-0-0-2-3;0.04060;0.04060
0-1-2-3-0;0.04066;0.04066
0-1-2-0-3;0.03947;0.03947
0-1-0-2-3;0.04074;0.04074
0-0-1-2-3;0.03864;0.03864
1-2-3-4-0;0.03657;0.03657
1-2-3-0-4;0.03585;0.03585
1-2-0-3-4;0.03666;0.03666
1-0-2-3-4;0.03530;0.03530
0-1-2-3-4;0.03565;0.03565
1-2-3-4-5;0.03988;0.03988
