;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.04360;0.04360
0-1-0-0-0;0.04226;0.04226
0-0-1-0-0;0.03836;0.03836
0-0-0-1-0;0.04084;0.04084
0-0-0-0-1;0.03849;0.03849
1-2-0-0-0;0.03570;0.03570
1-0-2-0-0;0.03150;0.03150
1-0-0-2-0;0.03277;0.03277
1-0-0-0-2;0.03194;0.03194
0-1-2-0-0;0.03191;0.03191
0-1-0-2-0;0.03363;0.03363
0-1-0-0-2;0.03214;0.03214
0-0-1-2-0;0.03128;0.03128
0-0-1-0-2;0.03021;0.03021
0-0-0-1-2;0.03095;0.03095
1-2-3-0-0;0.03998;0.03998
1-2-0-3-0;0.04071;0.04071
1-2-0-0-3;0.03978;0.03978
1-0-2-3-0;0.03871;0.03871
1-0-2-0-3;0.03805;0.03805
1-0-0-2-3;0.03933;0.03933
0-1-2-3-0;0.03951;0.03951
0-1-2-0-3;0.03820;0.03820
0-1-0-2-3;0.03947;0.03947
0-0-1-2-3;0.03755;0.03755
1-2-3-4-0;0.03540;0.03540
1-2-3-0-4;0.03462;0.03462
1-2-0-3-4;0.03540;0.03540
1-0-2-3-4;0.03419;0.03419
0-1-2-3-4;0.03450;0.03450
1-2-3-4-5;0.03872;0.03872
