;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.48176;0.48176
0-1-0-0-0;0.48310;0.48310
0-0-1-0-0;0.48767;0.48767
0-0-0-1-0;0.48477;0.48477
0-0-0-0-1;0.48842;0.48842
1-2-0-0-0;0.48886;0.48886
1-0-2-0-0;0.49379;0.49379
1-0-0-2-0;0.49216;0.49216
1-0-0-0-2;0.49337;0.49337
0-1-2-0-0;0.49348;0.49348
0-1-0-2-0;0.49106;0.49106
0-1-0-0-2;0.49345;0.49345
0-0-1-2-0;0.49435;0.49435
0-0-1-0-2;0.49548;0.49548
0-0-0-1-2;0.49417;0.49417
1-2-3-0-0;0.48539;0.48539
1-2-0-3-0;0.48446;0.48446
1-2-0-0-3;0.48540;0.48540
1-0-2-3-0;0.48676;0.48676
1-0-2-0-3;0.48702;0.48702
1-0-0-2-3;0.48596;0.48596
0-1-2-3-0;0.48601;0.48601
0-1-2-0-3;0.48739;0.48739
0-1-0-2-3;0.48592;0.48592
0-0-1-2-3;0.48841;0.48841
1-2-3-4-0;0.48996;0.48996
1-2-3-0-4;0.49047;0.49047
1-2-0-3-4;0.48974;0.48974
1-0-2-3-4;0.49126;0.49126
0-1-2-3-4;0.49075;0.49075
1-2-3-4-5;0.48664;0.48664
