;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.15000;0.15000
0-1-0-0-0;0.12791;0.12791
0-0-1-0-0;0.21528;0.21528
0-0-0-1-0;0.00000;0.00000
0-0-0-0-1;0.25000;0.25000
1-2-0-0-0;0.12500;0.12500
1-0-2-0-0;0.19101;0.19101
1-0-0-2-0;0.12500;0.12500
1-0-0-0-2;0.18750;0.18750
0-1-2-0-0;0.20408;0.20408
0-1-0-2-0;0.13333;0.13333
0-1-0-0-2;0.18621;0.18621
0-0-1-2-0;0.22222;0.22222
0-0-1-0-2;0.22222;0.22222
0-0-0-1-2;0.25000;0.25000
1-2-3-0-0;0.15862;0.15862
1-2-0-3-0;0.14286;0.14286
1-2-0-0-3;0.15556;0.15556
1-0-2-3-0;0.20942;0.20942
1-0-2-0-3;0.22159;0.22159
1-0-0-2-3;0.16667;0.16667
0-1-2-3-0;0.19231;0.19231
0-1-2-0-3;0.21547;0.21547
0-1-0-2-3;0.17284;0.17284
0-0-1-2-3;0.24806;0.24806
1-2-3-4-0;0.19355;0.19355
1-2-3-0-4;0.21267;0.21267
1-2-0-3-4;0.14286;0.14286
1-0-2-3-4;0.21267;0.21267
0-1-2-3-4;0.21547;0.21547
1-2-3-4-5;0.21547;0.21547
