;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.09735;0.09735
0-1-0-0-0;0.08242;0.08242
0-0-1-0-0;0.09007;0.09007
0-0-0-1-0;0.09631;0.09631
0-0-0-0-1;0.08194;0.08194
1-2-0-0-0;0.09768;0.09768
1-0-2-0-0;0.10797;0.10797
1-0-0-2-0;0.11303;0.11303
1-0-0-0-2;0.10264;0.10264
0-1-2-0-0;0.09978;0.09978
0-1-0-2-0;0.10105;0.10105
0-1-0-0-2;0.09822;0.09822
0-0-1-2-0;0.10818;0.10818
0-0-1-0-2;0.10081;0.10081
0-0-0-1-2;0.10091;0.10091
1-2-3-0-0;0.09437;0.09437
1-2-0-3-0;0.09431;0.09431
1-2-0-0-3;0.09756;0.09756
1-0-2-3-0;0.10393;0.10393
1-0-2-0-3;0.09976;0.09976
1-0-0-2-3;0.10332;0.10332
0-1-2-3-0;0.09694;0.09694
0-1-2-0-3;0.09395;0.09395
0-1-0-2-3;0.09705;0.09705
0-0-1-2-3;0.09501;0.09501
1-2-3-4-0;0.10256;0.10256
1-2-3-0-4;0.09930;0.09930
1-2-0-3-4;0.10187;0.10187
1-0-2-3-4;0.10293;0.10293
0-1-2-3-4;0.10083;0.10083
1-2-3-4-5;0.09460;0.09460
