;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.16942;0.16942
0-1-0-0-0;0.15833;0.15833
0-0-1-0-0;0.16910;0.16910
0-0-0-1-0;0.11659;0.11659
0-0-0-0-1;0.17537;0.17537
1-2-0-0-0;0.15250;0.15250
1-0-2-0-0;0.16211;0.16211
1-0-0-2-0;0.13043;0.13043
1-0-0-0-2;0.16744;0.16744
0-1-2-0-0;0.17263;0.17263
0-1-0-2-0;0.14167;0.14167
0-1-0-0-2;0.16404;0.16404
0-0-1-2-0;0.15666;0.15666
0-0-1-0-2;0.17033;0.17033
0-0-0-1-2;0.14610;0.14610
1-2-3-0-0;0.15500;0.15500
1-2-0-3-0;0.14722;0.14722
1-2-0-0-3;0.15362;0.15362
1-0-2-3-0;0.16739;0.16739
1-0-2-0-3;0.17753;0.17753
1-0-0-2-3;0.14235;0.14235
0-1-2-3-0;0.16667;0.16667
0-1-2-0-3;0.18478;0.18478
0-1-0-2-3;0.16369;0.16369
0-0-1-2-3;0.17663;0.17663
1-2-3-4-0;0.16957;0.16957
1-2-3-0-4;0.18600;0.18600
1-2-0-3-4;0.15556;0.15556
1-0-2-3-4;0.17609;0.17609
0-1-2-3-4;0.18043;0.18043
1-2-3-4-5;0.18043;0.18043
