;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.08000;0.08000
0-1-0-0-0;0.12209;0.12209
0-0-1-0-0;0.04861;0.04861
0-0-0-1-0;0.00000;0.00000
0-0-0-0-1;0.16667;0.16667
1-2-0-0-0;0.05556;0.05556
1-0-2-0-0;0.04494;0.04494
1-0-0-2-0;0.04167;0.04167
1-0-0-0-2;0.09821;0.09821
0-1-2-0-0;0.06122;0.06122
0-1-0-2-0;0.05714;0.05714
0-1-0-0-2;0.11724;0.11724
0-0-1-2-0;0.05556;0.05556
0-0-1-0-2;0.04861;0.04861
0-0-0-1-2;0.16667;0.16667
1-2-3-0-0;0.05517;0.05517
1-2-0-3-0;0.07619;0.07619
1-2-0-0-3;0.06667;0.06667
1-0-2-3-0;0.06283;0.06283
1-0-2-0-3;0.05682;0.05682
1-0-0-2-3;0.08333;0.08333
0-1-2-3-0;0.06731;0.06731
0-1-2-0-3;0.06630;0.06630
0-1-0-2-3;0.06173;0.06173
0-0-1-2-3;0.08527;0.08527
1-2-3-4-0;0.05645;0.05645
1-2-3-0-4;0.05430;0.05430
1-2-0-3-4;0.05714;0.05714
1-0-2-3-4;0.06787;0.06787
0-1-2-3-4;0.08287;0.08287
1-2-3-4-5;0.08287;0.08287
